hmdb_id,metabolite,smiles,inchikey,status
HMDB0000011,3-Hydroxybutyric acid,C[C@@H](O)CC(O)=O,WHBMMWSBFZVSSR-GSVOUGTGSA-N,quantified
HMDB0000012,Deoxyuridine,OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O,MXHRCPNRJAMMIM-SHYZEUOFSA-N,quantified
HMDB0000014,Deoxycytidine,NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1,CKTSBUTUHBMZGZ-SHYZEUOFSA-N,quantified
HMDB0000017,4-Pyridoxic acid,CC1=NC=C(CO)C(C(O)=O)=C1O,HXACOUQIXZGNBF-UHFFFAOYSA-N,quantified
HMDB0000020,p-Hydroxyphenylacetic acid,OC(=O)CC1=CC=C(O)C=C1,XQXPVVBIMDBYFF-UHFFFAOYSA-N,quantified
HMDB0000030,Biotin,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,YBJHBAHKTGYVGT-ZKWXMUAHSA-N,quantified
HMDB0000033,Carnosine,NCCC(=O)N[C@@H](CC1=CN=CN1)C(O)=O,CQOVPNPJLQNMDC-ZETCQYMHSA-N,quantified
HMDB0000034,Adenine,NC1=C2NC=NC2=NC=N1,GFFGJBXGBJISGV-UHFFFAOYSA-N,quantified
HMDB0000036,Taurocholic acid,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O,WBWWGRHZICKQGZ-HZAMXZRMSA-N,quantified
HMDB0000039,Butyric acid,CCCC(O)=O,FERIUCNNQQJTOY-UHFFFAOYSA-N,quantified
HMDB0000042,Acetic acid,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,quantified
HMDB0000043,Betaine,C[N+](C)(C)CC(O)=O,KWIUHFFTVRNATP-UHFFFAOYSA-O,quantified
HMDB0000045,Adenosine monophosphate,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,UDMBCSSLTHHNCD-KQYNXXCUSA-N,quantified
HMDB0000050,Adenosine,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1,OIRDTQYFTABQOQ-KQYNXXCUSA-N,quantified
HMDB0000053,Androstenedione,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,AEMFNILZOJDQLW-QAGGRKNESA-N,quantified
HMDB0000054,Bilirubin,CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(CC2=C(CCC(O)=O)C(C)=C(N2)\C=C2/NC(=O)C(C=C)=C2C)N1,BPYKTIZUTYGOLE-IFADSCNNSA-N,quantified
