hmdb_id,metabolite,smiles,status
HMDB0000011,3-Hydroxybutyric acid,C[C@@H](O)CC(O)=O,ok
HMDB0000012,Deoxyuridine,OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O,ok
HMDB0000014,Deoxycytidine,NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1,ok
HMDB0000017,4-Pyridoxic acid,CC1=NC=C(CO)C(C(O)=O)=C1O,ok
HMDB0000020,p-Hydroxyphenylacetic acid,OC(=O)CC1=CC=C(O)C=C1,ok
HMDB0000030,Biotin,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,ok
HMDB0000033,Carnosine,NCCC(=O)N[C@@H](CC1=CN=CN1)C(O)=O,ok
HMDB0000034,Adenine,NC1=C2NC=NC2=NC=N1,ok
HMDB0000036,Taurocholic acid,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O,ok
HMDB0000039,Butyric acid,CCCC(O)=O,ok
HMDB0000042,Acetic acid,CC(O)=O,ok
HMDB0000043,Betaine,C[N+](C)(C)CC(O)=O,ok
HMDB0000045,Adenosine monophosphate,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,ok
HMDB0000050,Adenosine,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1,ok
HMDB0000053,Androstenedione,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,ok
HMDB0000054,Bilirubin,CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(CC2=C(CCC(O)=O)C(C)=C(N2)\C=C2/NC(=O)C(C=C)=C2C)N1,ok
HMDB0000056,beta-Alanine,NCCC(O)=O,ok
HMDB0000058,Cyclic AMP,[H][C@@]12COP(O)(=O)O[C@@]1([H])[C@@H](O)[C@@H](O2)N1C=NC2=C1N=CN=C2N,ok
HMDB0000060,Acetoacetic acid,CC(=O)CC(O)=O,ok
HMDB0000063,Cortisol,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,ok
HMDB0000064,Creatine,CN(CC(O)=O)C(N)=N,ok
HMDB0000067,Cholesterol,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,ok
HMDB0000077,Dehydroepiandrosterone,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,ok
HMDB0000087,Dimethylamine,CNC,ok
HMDB0000089,Cytidine,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,ok
HMDB0000092,Dimethylglycine,CN(C)CC(O)=O,ok
HMDB0000094,Citric acid,OC(=O)CC(O)(CC(O)=O)C(O)=O,ok
HMDB0000097,Choline,C[N+](C)(C)CCO,ok
HMDB0000098,D-Xylose,O[C@@H]1COC(O)[C@H](O)[C@H]1O,ok
HMDB0000099,L-Cystathionine,N[C@@H](CCSC[C@H](N)C(O)=O)C(O)=O,ok
HMDB0000108,Ethanol,CCO,ok
HMDB0000112,gamma-Aminobutyric acid,NCCCC(O)=O,ok
HMDB0000121,Folic acid,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,ok
HMDB0000122,D-Glucose,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,ok
HMDB0000123,Glycine,NCC(O)=O,ok
HMDB0000125,Glutathione,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O,ok
HMDB0000128,Guanidoacetic acid,NC(=N)NCC(O)=O,ok
HMDB0000130,Homogentisic acid,OC(=O)CC1=C(O)C=CC(O)=C1,ok
HMDB0000131,Glycerol,OCC(O)CO,ok
HMDB0000133,Guanosine,NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1,ok
HMDB0000134,Fumaric acid,OC(=O)\C=C\C(O)=O,ok
HMDB0000138,Glycocholic acid,C[C@H](CCC(O)=NCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,ok
HMDB0000139,Glyceric acid,OC[C@@H](O)C(O)=O,ok
HMDB0000142,Formic acid,OC=O,ok
HMDB0000148,L-Glutamic acid,N[C@@H](CCC(O)=O)C(O)=O,ok
HMDB0000149,Ethanolamine,NCCO,ok
HMDB0000157,Hypoxanthine,OC1=NC=NC2=C1NC=N2,ok
HMDB0000158,L-Tyrosine,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,ok
HMDB0000159,L-Phenylalanine,N[C@@H](CC1=CC=CC=C1)C(O)=O,ok
HMDB0000161,L-Alanine,C[C@H](N)C(O)=O,ok
HMDB0000162,L-Proline,OC(=O)[C@@H]1CCCN1,ok
HMDB0000164,Methylamine,CN,ok
HMDB0000167,L-Threonine,C[C@@H](O)[C@H](N)C(O)=O,ok
HMDB0000168,L-Asparagine,N[C@@H](CC(N)=O)C(O)=O,ok
HMDB0000172,L-Isoleucine,CC[C@H](C)[C@H](N)C(O)=O,ok
HMDB0000175,Inosinic acid,O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CNC2=O,ok
HMDB0000177,L-Histidine,N[C@@H](CC1=CN=CN1)C(O)=O,ok
HMDB0000182,L-Lysine,NCCCC[C@H](N)C(O)=O,ok
HMDB0000187,L-Serine,N[C@@H](CO)C(O)=O,ok
HMDB0000190,L-Lactic acid,C[C@H](O)C(O)=O,ok
HMDB0000191,L-Aspartic acid,N[C@@H](CC(O)=O)C(O)=O,ok
HMDB0000195,Inosine,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(O)N=CN=C12,ok
HMDB0000201,L-Acetylcarnitine,CC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C,ok
HMDB0000209,Phenylacetic acid,OC(=O)CC1=CC=CC=C1,ok
HMDB0000210,Pantothenic acid,CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O,ok
HMDB0000214,Ornithine,NCCC[C@H](N)C(O)=O,ok
HMDB0000220,Palmitic acid,CCCCCCCCCCCCCCCC(O)=O,ok
HMDB0000224,O-Phosphoethanolamine,NCCOP(O)(O)=O,ok
HMDB0000226,Orotic acid,OC(=O)C1=CC(=O)NC(=O)N1,ok
HMDB0000228,Phenol,OC1=CC=CC=C1,ok
HMDB0000230,N-Acetylneuraminic acid,[H][C@]1(O[C@@](O)(C[C@H](O)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO,ok
HMDB0000237,Propionic acid,CCC(O)=O,ok
HMDB0000239,Pyridoxine,CC1=C(O)C(CO)=C(CO)C=N1,ok
HMDB0000243,Pyruvic acid,CC(=O)C(O)=O,ok
HMDB0000247,Sorbitol,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,ok
HMDB0000251,Taurine,NCCS(O)(=O)=O,ok
HMDB0000254,Succinic acid,OC(=O)CCC(O)=O,ok
HMDB0000258,Sucrose,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,ok
HMDB0000267,Pyroglutamic acid,OC(=O)[C@@H]1CCC(=O)N1,ok
HMDB0000286,Uridine diphosphate glucose,OC[C@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@@H]1O,ok
HMDB0000289,Uric acid,O=C1NC2=C(N1)C(=O)NC(=O)N2,ok
HMDB0000292,Xanthine,O=C1NC2=C(NC=N2)C(=O)N1,ok
