index,hmdb_id,metabolite,smiles,n_diseases
0,HMDB0000122,D-Glucose,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,3
1,HMDB0000883,L-Valine,CC(C)[C@H](N)C(O)=O,3
2,HMDB0000112,gamma-Aminobutyric acid,NCCCC(O)=O,2
3,HMDB0000167,L-Threonine,C[C@@H](O)[C@H](N)C(O)=O,2
4,HMDB0000929,L-Tryptophan,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,2
5,HMDB0001419,24-Hydroxycholesterol,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CC[C@H](O)C(C)C,2
6,HMDB0000142,Formic acid,OC=O,2
7,HMDB0001875,Methanol,CO,2
8,HMDB0000097,Choline,C[N+](C)(C)CCO,2
9,HMDB0000094,Citric acid,OC(=O)CC(O)(CC(O)=O)C(O)=O,2
10,HMDB0000251,Taurine,NCCS(O)(=O)=O,2
11,HMDB0000157,Hypoxanthine,OC1=NC=NC2=C1NC=N2,2
12,HMDB0000067,Cholesterol,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,2
13,HMDB0000159,L-Phenylalanine,N[C@@H](CC1=CC=CC=C1)C(O)=O,2
14,HMDB0000161,L-Alanine,C[C@H](N)C(O)=O,2
15,HMDB0000162,L-Proline,OC(=O)[C@@H]1CCCN1,2
16,HMDB0000237,Propionic acid,CCC(O)=O,2
17,HMDB0000042,Acetic acid,CC(O)=O,2
18,HMDB0000190,L-Lactic acid,C[C@H](O)C(O)=O,2
19,HMDB0000904,Citrulline,N[C@@H](CCCNC(N)=O)C(O)=O,2
20,HMDB0000687,L-Leucine,CC(C)C[C@H](N)C(O)=O,2
21,HMDB0000039,Butyric acid,CCCC(O)=O,2
22,HMDB0003345,alpha-D-Glucose,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,2
23,HMDB0000696,L-Methionine,CSCC[C@H](N)C(O)=O,2
24,HMDB0000714,Hippuric acid,OC(=O)CNC(=O)C1=CC=CC=C1,2
25,HMDB0000845,Neopterin,NC1=NC2=C(N=C(C=N2)C(O)C(O)CO)C(=O)N1,2
26,HMDB0013627,Cervonoyl ethanolamide,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)OCCO,1
27,HMDB0013724,Thallium,Cl[Tl],1
28,HMDB0013639,8-[(Aminomethyl)sulfanyl]-6-sulfanyloctanoic acid,NCSCCC(S)CCCCC(O)=O,1
29,HMDB0013695,Urolithin A,OC1=CC2=C(C=C1)C1=C(C=C(O)C=C1)C(=O)O2,1
30,HMDB0013036,1-Pentanol,CCCCCO,1
31,HMDB0012971,1-Hexanol,CCCCCCO,1
32,HMDB0013811,1-Nitroheptane,CCCCCCC[N+](O)=O,1
33,HMDB0013780,Dimethyl trisulfide,CSSSC,1
34,HMDB0012798,5'-Carboxy-alpha-chromanol,CC(CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C)C(O)=O,1
35,HMDB0013785,Furan,O1C=CC=C1,1
